File,Original_Tier_Name,New_Tier_Name
mc_english_devon01.eaf,utterance,tx@EN02
mc_english_devon01.eaf,grammatical_words,wd@EN02
mc_english_devon01.eaf,graid,ps@EN02
mc_english_devon01.eaf,utterance_translation,ft@EN02
mc_english_devon01.eaf,grammatical_mtok,mb@EN02
mc_english_devon01.eaf,gloss_mtok,gl@EN02
mc_english_kent01.eaf,utterance,tx@EN01
mc_english_kent01.eaf,grammatical_words,wd@EN01
mc_english_kent01.eaf,graid,ps@EN01
mc_english_kent01.eaf,utterance_translation,ft@EN01
mc_english_kent01.eaf,gramm_mtok,mb@EN01
mc_english_kent01.eaf,gloss_mtok,gl@EN01
mc_english_kent02_a.eaf,utterance,tx@EN01
mc_english_kent02_a.eaf,grammatical_words,wd@EN01
mc_english_kent02_a.eaf,graid,ps@EN01
mc_english_kent02_a.eaf,utterance_translation,ft@EN01
mc_english_kent02_a.eaf,gramm_mtok,mb@EN01
mc_english_kent02_a.eaf,gloss_mtok,gl@EN01
mc_english_kent02_b_part1.eaf,utterance,tx@EN01
mc_english_kent02_b_part1.eaf,grammatical_words,wd@EN01
mc_english_kent02_b_part1.eaf,graid,ps@EN01
mc_english_kent02_b_part1.eaf,utterance_translation,ft@EN01
mc_english_kent02_b_part1.eaf,grammatical_words_mtok,mb@EN01
mc_english_kent02_b_part1.eaf,gloss_mtok,gl@EN01
mc_english_kent02_b_part2.eaf,utterance,tx@EN01
mc_english_kent02_b_part2.eaf,grammatical_words,wd@EN01
mc_english_kent02_b_part2.eaf,graid,ps@EN01
mc_english_kent02_b_part2.eaf,utterance_translation,ft@EN01
mc_english_kent02_b_part2.eaf,grammatical_words_mtok,mb@EN01
mc_english_kent02_b_part2.eaf,gloss_mtok,gl@EN01
mc_english_kent03_a.eaf,utterance,tx@EN03
mc_english_kent03_a.eaf,grammatical_words,wd@EN03
mc_english_kent03_a.eaf,graid,ps@EN03
mc_english_kent03_a.eaf,utterance_translation,ft@EN03
mc_english_kent03_a.eaf,gramm_mtok,mb@EN03
mc_english_kent03_a.eaf,gloss_mtok,gl@EN03
mc_english_kent03_b_part1.eaf,utterance,tx@EN03
mc_english_kent03_b_part1.eaf,grammatical_words,wd@EN03
mc_english_kent03_b_part1.eaf,graid,ps@EN03
mc_english_kent03_b_part1.eaf,utterance_translation,ft@EN03
mc_english_kent03_b_part1.eaf,grammatical_words_mtok,mb@EN03
mc_english_kent03_b_part1.eaf,gloss_mtok,gl@EN03
mc_english_kent03_b_part2.eaf,utterance,tx@EN03
mc_english_kent03_b_part2.eaf,grammatical_words,wd@EN03
mc_english_kent03_b_part2.eaf,graid,ps@EN03
mc_english_kent03_b_part2.eaf,utterance_translation,ft@EN03
mc_english_kent03_b_part2.eaf,grammatical_words_mtok,mb@EN03
mc_english_kent03_b_part2.eaf,gloss_mtok,gl@EN03
mc_english_london01_a.eaf,utterance,tx@EN04
mc_english_london01_a.eaf,grammatical_words,wd@EN04
mc_english_london01_a.eaf,graid,ps@EN04
mc_english_london01_a.eaf,utterance_translation,ft@EN04
mc_english_london01_a.eaf,gramm_mtok,mb@EN04
mc_english_london01_a.eaf,gloss_mtok,gl@EN04
mc_english_london01_b.eaf,utterance,tx@EN04
mc_english_london01_b.eaf,grammatical_words,wd@EN04
mc_english_london01_b.eaf,graid,ps@EN04
mc_english_london01_b.eaf,utterance_translation,ft@EN04
mc_english_london01_b.eaf,gramm_mtok,mb@EN04
mc_english_london01_b.eaf,gloss_mtok,gl@EN04
